BRIDGE NO.,LATITUDE,LONGITUDE,VINTAGE,Bridge Length,Spans,SKEW ANGLE,PRIMARY FUNCTION,Pier Type,Support Description,BRIDGE PRIMARY MATERIAL,Superstructure Type,ROAD CLASS,M Truck,Tandem,Triple Axle,Quad Axle,484 Quad Axle,T44 (%),HLP 320 (%),HLP 400 (%),MS 1600 (%),OVERALL WIDTH,WIDTH BETWEEN KERB,NO. OF TRAFFIC LANES,NO. OF FOOTPATHS,Earthquake design,Longest Span,Structure Type,HAZUS_CLASS,K3d,Ishape,Kskew,road
0763A,-31.43251,116.79497,1939-01-01,26.4,4,0,Road Bridge,Driven RC piles,Continuous,Reinforced Concrete,Solid Flat Slab,3,0.0,30.2,36.2,40.3,49.7,150,136,0,102.0,9.11,8.2,2,0,False,6.6,Concrete,HWB24,1.0666666666666669,0.0,1.0,State Route 115
0765,-31.295433,116.830734,1933-01-01,8.5,1,0,Road Bridge,,Simply Suported,Timber Hybrid,Round Timber,3,10.0,17.6,24.8,29.1,33.9,84,74,68,0.0,9.6,9.26,2,0,False,8.5,Timber,HWB3,1.0,1.0,1.0,State Route 115
0897,-31.930452,116.921684,1970-01-01,48.8,8,0,Road Bridge,RC columns,Continuous,Reinforced Concrete,Solid Flat Slab,3,0.0,21.4,28.4,35.6,35.6,100,67,68,0.0,8.55,7.93,2,0,False,6.1,Concrete,HWB24,1.0285714285714285,0.0,1.0,York Merredin
0898,-31.94339,116.949249,1972-01-01,36.6,6,0,Road Bridge,Driven RC piles,Continuous,Reinforced Concrete,Solid Flat Slab,3,0.0,21.4,28.4,35.6,35.6,100,67,68,0.0,8.55,7.95,2,0,False,6.1000000000000005,Concrete,HWB24,1.04,0.0,1.0,York Merredin
1006,-31.540028,118.067604,1972-01-01,24.4,4,0,Road Bridge,Driven RC piles,Continuous,Reinforced Concrete,Solid Flat Slab,1,0.0,61.2,78.3,93.6,86.4,120,0,100,0.0,9.77,8.55,2,0,False,6.1,Concrete,HWB24,1.0666666666666669,0.0,1.0,National Highway 94
1007,-31.539352,118.069534,1972-01-01,24.4,4,0,Road Bridge,Driven RC piles,Continuous,Reinforced Concrete,Solid Flat Slab,1,0.0,61.2,78.3,93.6,86.4,120,0,100,0.0,9.77,8.55,2,0,False,6.1,Concrete,HWB24,1.0666666666666669,0.0,1.0,National Highway 94
1046,-31.71899,116.5249,1973-01-01,37.6,2,4,Road Bridge,RC columns,Continuous,Prestressed Concrete,I-Beam,1,0.0,18.0,27.0,36.0,36.0,100,100,100,88.0,14.5,13.5,4,0,False,18.8,Prestressed,HWB22,1.165,1.0,0.998781282493732,National Highway 94
1047,-31.69549,116.57024,1973-01-01,18.3,1,35,Road Bridge,,Simply Suported,Prestressed Concrete,I-Beam,1,0.0,27.9,36.2,45.4,49.0,129,100,91,0.0,14.6,13.4,4,0,False,18.3,Prestressed,HWB3,1.0,1.0,0.9050701874932088,National Highway 94
1050,-31.523623,118.147209,1968-01-01,24.4,8,0,Road Bridge,Driven RC piles,Continuous,Reinforced Concrete,Solid Flat Slab,1,0.0,26.5,29.7,34.6,41.8,105,91,95,82.0,9.1,8.5,2,0,False,3.05,Concrete,HWB24,1.0285714285714285,0.0,1.0,National Highway 94
1149,-31.637942,116.757497,1984-01-01,19.9,6,40,Road Bridge,Solid wall,Simply Supported,Reinforced Concrete,Precast Box Units,1,0.0,18.0,27.0,36.0,36.0,100,0,0,0.0,24.0,9.5,2,0,False,3.3166666666666664,Concrete,HWB24,1.04,0.0,0.8752396489642011,National Highway 94
1150,-31.63351,116.79543,1984-05-01,34.9,3,30,Road Bridge,RC columns,Continuous,Prestressed Concrete,Solid Flat Slab,1,0.0,52.3,48.3,64.8,68.0,179,157,121,115.0,9.86,9.2,2,0,False,11.633333333333333,Prestressed,HWB22,1.11,1.0,0.9306048591020996,National Highway 94
1153,-31.634243,116.81752,1984-05-01,24.0,3,12,Road Bridge,RC columns,Continuous,Reinforced Concrete,Solid Flat Slab,1,0.0,22.0,28.6,34.6,43.2,111,108,97,63.0,11.66,11.0,3,0,False,8.0,Concrete,HWB24,1.1,0.0,0.98901344820675,National Highway 94
1154,-31.636616,116.864532,1984-05-01,43.5,3,42,Road Bridge,RC columns,Continuous,Steel/Concrete Composite,I-Beam,1,0.0,44.5,42.4,49.7,50.7,161,110,102,0.0,9.9,9.3,2,0,False,14.5,Steel,HWB15,1.0166666666666666,1.0,0.8620584814717586,National Highway 94
1463,-31.62058,116.68643,2002-07-25,21.1,1,0,Road Bridge,,Simply Suported,Prestressed Concrete,Teeroff Beam,1,0.0,42.8,59.1,74.5,74.5,218,0,0,126.0,12.65,11.0,3,0,False,21.1,Prestressed,HWB3,1.0,1.0,1.0,National Highway 94
1464,-31.619541,116.681264,2002-08-24,108.4,4,24,Road Bridge,RC columns,Simply Supported,Prestressed Concrete,Teeroff Beam,1,0.0,37.8,47.5,60.1,60.9,202,0,0,100.0,11.05,9.4,2,0,False,27.1,Prestressed,HWB17,1.0833333333333333,0.0,0.9557957196193132,National Highway 94
1465,-31.619176,116.67979,2002-01-25,26.85,1,0,Road Bridge,,Simply Suported,Prestressed Concrete,Teeroff Beam,1,0.0,38.2,48.9,61.9,64.3,204,0,0,103.0,11.06,9.4,2,0,False,26.85,Prestressed,HWB3,1.0,1.0,1.0,National Highway 94
1466,-31.626256,116.661165,2002-01-25,32.95,2,0,Road Bridge,Solid Wall,Simply Supported,Prestressed Concrete,Teeroff Beam,1,0.0,39.1,50.5,62.6,69.8,187,0,0,116.0,11.05,9.4,2,0,False,16.475,Prestressed,HWB17,1.25,0.0,1.0,National Highway 94
1467,-31.635873,116.64778,2002-03-14,241.5,8,0,Road Bridge,RC V columns,Continuous,Prestressed Concrete,Integral Beam & Slab,1,0.0,68.2,79.7,101.9,105.1,203,0,0,109.0,13.65,9.4,2,1,False,30.1875,Prestressed,HWB22,1.04125,1.0,1.0,National Highway 94
1468,-31.638121,116.644818,2002-03-19,23.9,1,38,Road Bridge,,Simply Suported,Prestressed Concrete,Teeroff Beam,1,0.0,56.2,59.7,72.7,76.6,232,0,0,109.0,11.05,9.4,2,0,False,23.9,Prestressed,HWB3,1.0,1.0,0.8876996978746371,National Highway 94
1469,-31.642431,116.640679,2002-01-25,27.6,1,0,Road Bridge,,Simply Suported,Prestressed Concrete,Teeroff Beam,1,0.0,36.5,45.6,57.6,59.7,197,0,0,101.0,14.55,12.9,3,0,False,27.6,Prestressed,HWB3,1.0,1.0,1.0,National Highway 94
1504,-31.636718,116.646667,2002-03-01,6.0,1,5,Road Bridge,,Simply Suported,Prestressed Concrete,Precast Slab Panels,1,0.0,187.6,223.6,261.0,298.1,786,473,420,425.0,26.6,26.6,2,0,False,6.0,Prestressed,HWB3,1.0,1.0,0.9980955355534588,National Highway 94
4527,-31.77514,116.30576,1960-01-01,13.36,2,0,Road Bridge,Driven Timber Pile,Simply Supported,Timber,Round Timber,4,27.0,23.2,30.3,35.7,41.8,119,0,0,0.0,7.69,7.07,2,0,False,6.68,Timber,HWB24,1.2,0.0,1.0,Bailup Rd
4989,-32.08011329,118.0589926,,7.25,2,0,Road Bridge,Driven RC piles,Simply Supported,Reinforced Concrete,Railway Line Reinforced Concrete,4,10.0,18.0,27.0,36.0,36.0,100,0,0,0.0,7.3,7.0,2,0,False,3.625,Concrete,HWB24,1.2,0.0,1.0,Eujinyn S Rd
5093,-32.164639,118.102734,,3.05,1,0,Road Bridge,,Simply Suported,Reinforced Concrete,Railway Line Reinforced Concrete,4,0.0,18.0,27.0,36.0,0.0,100,0,0,0.0,8.5,8.5,2,0,False,3.05,Concrete,HWB3,1.0,1.0,1.0,Corrigin-Bruce Rock Rd
5099A,-32.049313,118.104843,,6.1,2,0,Road Bridge,Driven RC piles,Simply Supported,Reinforced Concrete,Solid Slab Reinforced With Steel Beams,4,0.0,18.0,27.0,36.0,36.0,100,0,0,0.0,9.12,9.12,2,0,False,3.05,Concrete,HWB24,1.2,0.0,1.0,Corrigin-Bruce Rock Rd
5100A,-31.959072,118.095474,2001-02-04,14.2,4,0,Road Bridge,Driven RC piles,Simply Supported,Reinforced Concrete,Railway Line Reinforced Concrete,4,0.0,18.0,27.0,36.0,36.0,100,0,0,0.0,9.1,9.1,2,0,False,3.55,Concrete,HWB24,1.0666666666666669,0.0,1.0,Corrigin-Bruce Rock Rd
5281,-32.094238,118.110214,2001-02-02,3.5,1,0,Road Bridge,,Simply Suported,Reinforced Concrete,Solid Slab Reinforced With Steel Beams,4,0.0,18.0,27.0,36.0,36.0,100,0,0,0.0,9.0,9.0,2,0,False,3.5,Concrete,HWB3,1.0,1.0,1.0,Corrigin-Bruce Rock Rd
6223A,-31.959888,118.095474,2001-02-03,29.9,9,0,Road Bridge,Driven RC piles,Simply Supported,Reinforced Concrete,Railway Line Reinforced Concrete,4,0.0,18.0,27.0,36.0,36.0,100,0,0,0.0,9.1,9.1,2,0,False,3.322222222222222,Concrete,HWB24,1.025,0.0,1.0,Corrigin-Bruce Rock Rd
9186,-31.653578,116.637413,2002-09-23,3.8,1,0,Road Bridge,,Simply Suported,Reinforced Concrete,Precast Box Units,1,0.0,18.0,27.0,36.0,36.0,100,0,100,0.0,24.45,10.5,3,0,False,3.8,Concrete,HWB3,1.0,1.0,1.0,National Highway 94
9187,-31.62576,116.69927,2002-01-25,12.65,1,34,Road Bridge,,Simply Suported,Prestressed Concrete,Precast Slab Panels,1,0.0,25.9,38.6,51.5,56.5,128,0,0,100.0,13.44,11.0,3,0,False,12.65,Prestressed,HWB3,1.0,1.0,0.9105150040252176,National Highway 94
9306,-31.72046,116.51928,2008-03-10,4.5,1,0,Road Bridge,,Simply Suported,Reinforced Concrete,Precast Box Units,1,0.0,18.0,27.0,36.0,36.0,100,100,0,100.0,18.01,17.21,3,0,True,4.5,Concrete,HWB3,1.0,1.0,1.0,National Highway 94
