BRIDGE NO.,LATITUDE,LONGITUDE,HAZUS_CLASS,K3d,Kskew,Ishape,Slight,Moderate,Extensive,Complete
4166A,-31.83634,116.804145,HWB3,1.0,1.0,1.0,0.0002326472281256926,6.870017164564363e-06,2.0980661516326244e-06,1.1663746540921683e-07
4170,-31.79341,117.058464,HWB24,1.2,1.0,0.0,0.0400827789714963,0.003827405871832245,0.00136203140322091,0.00010307710202204672
4184,-31.88879,116.77102,HWB24,1.022222222222222,1.0,0.0,0.21690274471940574,0.1100354030279228,0.09935018650048733,0.03154492161614064
4189,-31.48675,116.716319,HWB24,1.0333333333333334,1.0,0.0,0.08080606700000763,0.022170582282123687,0.011357461312146714,0.0015049285401612987
4195,-31.71897,116.96178,HWB24,1.2,1.0,0.0,0.08133526829617842,0.010270212870397727,0.004415385892921801,0.00044712288548539724
4196,-31.440889,116.717739,HWB24,1.0666666666666669,1.0,0.0,0.057175303676295294,0.011681184572510585,0.0051607800940280816,0.0005449531045131805
4197A,-31.402482,116.757921,HWB3,1.0,1.0,1.0,0.00011850861840601183,2.4983364017905365e-05,8.501826688699487e-06,5.659506057778458e-07
4202,-31.254519,116.752943,HWB24,1.0666666666666669,1.0,0.0,0.011700802357421172,0.0015344186641255615,0.00046922065659539075,2.8074005455728902e-05
4205,-31.48764,116.61873,HWB3,1.0,1.0,1.0,0.00023315821687401765,4.5195003752581555e-05,1.621499931010016e-05,1.1784120526164322e-06
4399,-31.6476,116.678931,HWB24,1.018181818181818,0.9923748047044564,0.0,0.19083004712350637,0.09145913387179172,0.07489724159954597,0.020424055855936037
4490,-31.741807,116.18973,HWB24,1.1,1.0,0.0,0.005059388551985282,0.00044857124442736375,0.00011460544908932792,5.179336879664456e-06
4491,-31.749033,116.189482,HWB24,1.1,1.0,0.0,0.042517276322862535,0.006654963405948568,0.002622557530403982,0.000232287606978678
4527,-31.77514,116.30576,HWB24,1.2,1.0,0.0,0.17991314008948772,0.03416957164771632,0.019642019123891134,0.003105416088780087
4556A,-31.860369,116.813072,HWB3,1.0,0.9480474915842386,1.0,0.004990656434862115,0.0024827283349821605,0.001381921475120014,0.00020745620661011404
4654,-31.671064,116.730635,HWB24,1.05,1.0,0.0,0.22818711953019782,0.1031221652234029,0.08977252053159625,0.026924494448532833
4665,-31.54091,116.68645,HWB24,1.2,1.0,0.0,0.1533724655570457,0.026467736850088824,0.014188202281382676,0.002015413119616715
4674A,-31.842,116.67584,HWB3,1.0,1.0,1.0,0.04909289363906648,0.022930154417214705,0.018552557729913613,0.005199142650229789
4683,-31.72629,116.99643,HWB3,1.0,1.0,1.0,9.045308288433669e-07,1.2434690718933373e-08,2.45483788808567e-09,6.535449748489762e-11
4684,-31.613653,117.135116,HWB24,1.2,1.0,0.0,5.194603229215224e-05,9.395538392912833e-07,1.216804508349414e-07,1.8588226272456454e-09
4686,-31.136738,116.875422,HWB3,1.0,1.0,1.0,0.00016710020919854336,3.6384837567961055e-05,1.280073248423891e-05,9.005259806408682e-07
4694,-31.917664,117.171036,HWB3,1.0,0.9306048591020996,1.0,2.2001318621848474e-05,8.356011166247202e-06,2.592674170646446e-06,1.4799803679563409e-07
4695,-31.948475,117.442459,HWB3,1.0,1.0,1.0,3.969742258248304e-10,3.434573336958685e-12,4.385263753172711e-13,5.490714664256314e-15
4696,-31.961879,117.311485,HWB3,1.0,1.0,1.0,4.1937095691009397e-07,5.291657967817863e-08,1.1427213402385945e-08,3.544725957718026e-10
4774,-32.105111,116.19347,HWB3,1.0,1.0,1.0,2.4488156921415895e-06,3.732915318172087e-08,7.885174959109834e-09,2.355876559163837e-10
4815,-31.722347,116.658733,HWB24,1.0166666666666666,1.0,0.0,0.2190525026715353,0.16359550319854693,0.22024915881990265,0.1326797124225717
4816,-31.998482,117.000075,HWB24,1.0666666666666669,0.9520019889877592,0.0,0.04798911509454329,0.012239395387329818,0.005462102303118717,0.0005857545613445661
4852,-31.558613,116.147545,HWB24,1.0666666666666669,1.0,0.0,0.02352891336140056,0.003685865133240378,0.0013029891046351882,9.760305002870482e-05
4876,-31.528251,116.427061,HWB24,1.1,0.9306048591020996,0.0,0.06655871088073928,0.01797663768876446,0.008751428452833023,0.0010724648198547604
4883,-32.080052,117.862687,HWB24,1.1,1.0,0.0,2.1936038162708624e-05,7.125607463029956e-07,8.998947891258632e-08,1.3195708735761743e-09
4885,-31.934326,117.984529,HWB24,1.0666666666666669,1.0,0.0,0.0006255594358196936,4.516236934499253e-05,8.669390014219672e-06,2.494216025118122e-07
